;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1209-14;EDIFICIOS;PAGO COMPROMISO COMPRA VENTA BIO BIO;JOSE PEREZ ARRIAGADA;XXXX;BIO BIO;;2002-02-24;2002;2020-12-28;2028-12-28; 96 ;2022-02-01;2022-08-01;2022; - ; - ;si;2022;2022-08-01;2030-12-28; 2.500.000 ; 100 ; 96 ; - ; - ; - ; - ; - ; - ; - ; 4 ; - ; 25.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; 100.000 ; 100.000 ; 2.400.000 
1209-14;EDIFICIOS;SUBSECRETARIA DE TRANSPORTES;BASES DE LICITACION PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TECNICAS DE VEHICULOS EN LA REGION DE VALPARAISO;8932;CASABLANCA;;2013-04-18;2013;2017-09-01;2025-09-01; 96 ;2019-05-01;2019-11-01;2019; - ; - ;si;2019;2019-11-01;2027-09-01; 42.017 ; 94 ; 57 ; - ; - ; - ; - ; 1 ; 12 ; 12 ; 12 ; - ; 447 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; 447 ; 447 ; 41.570 ; 5.364 ; 5.811 ; 36.206 ; 5.364 ; 11.175 ; 30.842 ; 5.364 ; 16.539 ; 25.478 
1209-14;EDIFICIOS;BASES DE LICITACIÓN PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TECNICAS DE VEHICULOS EN LA REGION DEL MAULE;SUBSECRERARIA DE TRANSPORTES;8934;CONSTITUCIÓN;;2013-04-18;2013;2014-08-07;2022-08-07; 96 ;2018-07-01;2019-01-01;2019; - ; - ;si;2019;2019-01-01;2024-08-07; 28.011 ; 67 ; 20 ; - ; - ; - ; - ; 11 ; 12 ; 12 ; 12 ; - ; 418 ; - ; - ; 28.011 ; - ; - ; 28.011 ; - ; - ; 28.011 ; - ; - ; 28.011 ; 4.599 ; 4.599 ; 23.412 ; 5.017 ; 9.616 ; 18.395 ; 5.017 ; 14.633 ; 13.378 ; 5.017 ; 19.650 ; 8.361 
1209-14;EDIFICIOS;Bases De Licitacion Para Otorgar Concesiones Para Operar Establecimientos Que Practiquen Revisiones Tenicas De Vehiculos En La Region Del Libertador General Bernardo Ohiggins;Subsecretaria De Transportes;8934;CURICÓ;Construccion;2013-04-18;2013;2014-08-07;2022-08-31; 96 ;2016-09-01;2017-03-01;2017; - ; - ;si;2017;2017-03-01;2024-08-31; 28.011 ; 89 ; 20 ; - ; - ; 9 ; 12 ; 12 ; 12 ; 12 ; 12 ; - ; 315 ; - ; - ; 28.011 ; - ; - ; 28.011 ; 2.833 ; 2.833 ; 25.178 ; 3.777 ; 6.610 ; 21.401 ; 3.777 ; 10.387 ; 17.624 ; 3.777 ; 14.164 ; 13.847 ; 3.777 ; 17.941 ; 10.070 ; 3.777 ; 21.718 ; 6.293 
1209-14;EDIFICIOS;BASES DE LICITACIÓN PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TECNICAS DE VEHICULOS EN LA REGION DEL MAULE;SUBSECRERARIA DE TRANSPORTES;8934;PARRAL;;2013-04-18;2013;2014-08-07;2022-08-07; 96 ;2017-02-01;2017-08-01;2017; - ; - ;si;2017;2017-08-01;2024-08-07; 28.011 ; 84 ; 20 ; - ; - ; 4 ; 12 ; 12 ; 12 ; 12 ; 12 ; - ; 333 ; - ; - ; 28.011 ; - ; - ; 28.011 ; 1.334 ; 1.334 ; 26.677 ; 4.002 ; 5.336 ; 22.675 ; 4.002 ; 9.338 ; 18.673 ; 4.002 ; 13.340 ; 14.671 ; 4.002 ; 17.342 ; 10.669 ; 4.002 ; 21.344 ; 6.667 
1209-14;EDIFICIOS;SUBSECRETARIA DE TRANSPORTES;BASES DE LICITACION PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TENICAS DE VEHICULOS EN LA REGION DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;8933;RANCAGUA;;2013-04-18;2013;2016-01-29;2024-01-29; 96 ;2018-02-01;2018-08-01;2018; - ; - ;si;2018;2018-08-01;2026-01-29; 42.017 ; 89 ; 37 ; - ; - ; - ; 4 ; 12 ; 12 ; 12 ; 12 ; - ; 472 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; 1.888 ; 1.888 ; 40.129 ; 5.665 ; 7.553 ; 34.464 ; 5.665 ; 13.218 ; 28.799 ; 5.665 ; 18.883 ; 23.134 ; 5.665 ; 24.548 ; 17.469 
1209-14;EDIFICIOS;BASES DE LICITACIÓN PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TECNICAS DE VEHICULOS EN LA REGION DE LIBERTADOR GENERAL BERNARDO O'HIGGINS;SUBSECRERARIA DE TRANSPORTES;8933;SVTT;;2013-04-18;2013;2016-01-29;2024-01-29; 96 ;2018-03-01;2018-09-01;2018; - ; - ;si;2018;2018-09-01;2026-01-29; 42.017 ; 88 ; 37 ; - ; - ; - ; 3 ; 12 ; 12 ; 12 ; 12 ; - ; 477 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; 1.432 ; 1.432 ; 40.585 ; 5.730 ; 7.162 ; 34.855 ; 5.730 ; 12.892 ; 29.125 ; 5.730 ; 18.622 ; 23.395 ; 5.730 ; 24.352 ; 17.665 
1209-06;OBRAS EN CURSO;BASES DE LICITACION PARA OTORGAR CONCESIONES PARA OPERAR ESTABLECIMIENTOS QUE PRACTIQUEN REVISIONES TECNICAS DE VEHICULOS EN LA REGION DE VALPARAISO;SUBSECRETARIA DE TRANSPORTES;8932;VIÑA DEL MAR;;2013-04-18;2013;2017-09-01;2025-09-01; 96 ;2020-04-01;2020-10-01;2020; - ; - ;si;2020;2020-10-01;2027-09-01; 42.017 ; 83 ; 57 ; - ; - ; - ; - ; - ; 2 ; 12 ; 12 ; - ; 506 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; - ; - ; 42.017 ; 1.012 ; 1.012 ; 41.005 ; 6.075 ; 7.087 ; 34.930 ; 6.075 ; 13.162 ; 28.855 
1209-15;MAQUINARIA Y EQUIPOS;LAURA PAMELA VASQUEZ;ASESORIA CASABLANCA LICITACION;28;CASABLANCA;;2013-04-19;2013;2017-09-01;2025-09-01; 96 ;2019-05-01;2019-11-01;2019; - ; - ;si;2019;2019-11-01;2027-09-01; 2.500.000 ; 94 ; 57 ; - ; - ; - ; - ; 1 ; 12 ; 12 ; 12 ; - ; 26.596 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; - ; - ; 2.500.000 ; 26.596 ; 26.596 ; 2.473.404 ; 319.149 ; 345.745 ; 2.154.255 ; 319.149 ; 664.894 ; 1.835.106 ; 319.149 ; 984.043 ; 1.515.957 
1209-14;EDIFICIOS;LAURA PAMELA VASQUEZ GARCIA ASESORIA EN PROYECTOS INMOBILIARIOS E.I.R.L.;ASESORIA VILLA ALEMANA. LICITACION V REGION 2017;28;CASABLANCA;;2013-04-20;2013;2017-09-01;2025-09-01; 96 ;2019-05-01;2019-11-01;2019; - ; - ;si;2019;2019-11-01;2027-09-01; 1.250.000 ; 94 ; 57 ; - ; - ; - ; - ; 1 ; 12 ; 12 ; 12 ; - ; 13.298 ; - ; - ; 1.250.000 ; - ; - ; 1.250.000 ; - ; - ; 1.250.000 ; - ; - ; 1.250.000 ; 13.298 ; 13.298 ; 1.236.702 ; 159.574 ; 172.872 ; 1.077.128 ; 159.574 ; 332.446 ; 917.554 ; 159.574 ; 492.020 ; 757.980 
